,VIX,VVIX,SKEW,VIX3M,PUT,BXM,CLL,price,dix,gex,volatility_5d,volatility_10d,volatility_20d,volatility_50d,vix_level,vix_change_1d,vix_change_5d,vix_change_10d,vix_change_20d,vvix_ratio,vvix_signal,term_spread,term_spread_pct,term_regime,gex_positive,gex_ma_20,gex_ratio,gex_signal,dix_ma_20,dix_ratio,dix_signal,put_ma_20,put_ratio,put_signal,skew_ma_20,skew_ratio,skew_signal,vix_momentum_5d,vix_momentum_10d,vix_momentum_20d,vix_momentum_50d,vol_regime,bull_signal_count,bear_signal_count,composite_signal
1990-01-16,24.18,,120.62,,,,,,,,2.3900418406379442,2.643150687258589,,,MEDIUM,-0.08200455580865607,0.08918918918918917,0.4025522041763343,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.08918918918918917,0.4025522041763343,,,LOW_VOL_UP,1,0,BULLISH
1990-01-17,24.16,,123.03,,,,,,,,2.3165880082569736,2.41042642608223,,,MEDIUM,-0.0008271298593879317,0.07664884135472372,0.3282023089609676,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.07664884135472372,0.3282023089609676,,,LOW_VOL_UP,1,0,BULLISH
1990-01-18,24.34,,131.14,,,,,,,,0.9191953002490869,2.20430790347749,,,MEDIUM,0.007450331125827825,0.21396508728179553,0.26638917793964634,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,NEUTRAL_SKEW,0.21396508728179553,0.26638917793964634,,,LOW_VOL_UP,0,0,NEUTRAL
1990-01-19,22.5,,129.31,,,,,,,,1.3635541793416246,1.9907924162113035,,,MEDIUM,-0.07559572719802798,-0.08685064935064934,0.11884634510193925,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,-0.08685064935064934,0.11884634510193925,,,LOW_VOL_DOWN,1,0,BULLISH
1990-01-22,26.7,,118.95,,,,,,,,1.5005598955056778,2.0076146708635756,,,MEDIUM_HIGH,0.18666666666666654,0.013667425968109326,0.3178677196446198,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.013667425968109326,0.3178677196446198,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-23,24.72,,117.94,,,,,,,,1.5023581463818838,1.9480135180913565,,,MEDIUM,-0.07415730337078652,0.022332506203473823,0.11351351351351346,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.022332506203473823,0.11351351351351346,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-24,25.39,,128.75,,,,,,,,1.5363593329686938,1.907288942743367,,,MEDIUM_HIGH,0.027103559870550242,0.050910596026490174,0.13146167557932253,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.050910596026490174,0.13146167557932253,,,HIGH_VOL_UP,1,0,BULLISH
1990-01-25,25.63,,124.33,,,,,,,,1.5625843977206508,1.2161048931367375,,,MEDIUM_HIGH,0.00945254037022436,0.05299917830731293,0.27830423940149607,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.05299917830731293,0.27830423940149607,,,HIGH_VOL_UP,1,0,BULLISH
1990-01-26,26.28,,122.76,,,,,,,,0.7726771641507275,1.291392013810423,,,MEDIUM_HIGH,0.025360905189231397,0.16800000000000015,0.06655844155844148,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.16800000000000015,0.06655844155844148,,,HIGH_VOL_UP,1,0,BULLISH
1990-01-29,26.44,,124.6,,,,,,,,0.697330624596404,1.3030494149408856,2.960823631854378,,MEDIUM_HIGH,0.0060882800608828,-0.009737827715355696,0.0037965072133636646,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,121.9965,1.0213407761698081,LOW_SKEW,-0.009737827715355696,0.0037965072133636646,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-30,27.25,,120.91,,,,,,,,0.7327141325237347,1.4345068839151687,2.766404849163198,,MEDIUM_HIGH,0.030635400907715438,0.10234627831715226,0.12696443341604624,0.5806264501160094,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,121.7375,0.9932025875346545,LOW_SKEW,0.10234627831715226,0.12696443341604624,0.5806264501160094,,HIGH_VOL_UP,1,0,BULLISH
1990-01-31,25.36,,128.22,,,,,,,,0.7410600515477875,1.3736362934440378,2.4852649440462535,,MEDIUM_HIGH,-0.06935779816513765,-0.0011815675462780728,0.04966887417218535,0.394172622319956,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,121.98150000000001,1.0511430011928038,LOW_SKEW,-0.0011815675462780728,0.04966887417218535,0.394172622319956,,NEUTRAL_VOL,1,0,BULLISH
1990-02-01,24.87,,129.53,,,,,,,,0.9371499346422686,1.3352669312829502,2.2322754498964694,,MEDIUM,-0.019321766561514186,-0.029652750682793494,0.021774856203779835,0.29396462018730496,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,122.327,1.0588831574386686,LOW_SKEW,-0.029652750682793494,0.021774856203779835,0.29396462018730496,,NEUTRAL_VOL,1,0,BULLISH
1990-02-02,24.32,,132.53,,,,,,,,1.188010942710548,0.9461406989566787,2.014905704989679,,MEDIUM,-0.022114997989545637,-0.07458143074581436,0.08088888888888901,0.20934858279462953,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,122.88999999999999,1.0784441370331193,NEUTRAL_SKEW,-0.07458143074581436,0.08088888888888901,0.20934858279462953,,LOW_VOL_DOWN,0,0,NEUTRAL
1990-02-05,24.54,,121.22,,,,,,,,1.1751467993404066,0.9379883913046211,1.7632382738944465,,MEDIUM,0.009046052631578982,-0.07186081694402424,-0.08089887640449434,0.21125370187561687,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,122.745,0.9875758686708216,LOW_SKEW,-0.07186081694402424,-0.08089887640449434,0.21125370187561687,,LOW_VOL_DOWN,1,0,BULLISH
1990-02-06,24.69,,120.3,,,,,,,,0.39335734389991794,0.9407331656154667,1.6689441982409277,,MEDIUM,0.006112469437652868,-0.09394495412844028,-0.0012135922330096527,0.11216216216216224,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,122.76899999999998,0.9798890599418422,LOW_SKEW,-0.09394495412844028,-0.0012135922330096527,0.11216216216216224,,LOW_VOL_DOWN,1,0,BULLISH
1990-02-07,24.29,,123.35,,,,,,,,0.24610973162391847,1.0135312306759785,1.5837346767422047,,MEDIUM,-0.016200891049007793,-0.04219242902208198,-0.043324143363528966,0.08244206773618523,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,122.8955,1.0036982639722365,LOW_SKEW,-0.04219242902208198,-0.043324143363528966,0.08244206773618523,,NEUTRAL_VOL,1,0,BULLISH
1990-02-08,23.77,,124.87,,,,,,,,0.34952825350749,1.1244993947925874,1.151792538885159,,MEDIUM,-0.02140798682585421,-0.044229995979091385,-0.0725712056184159,0.18553615960099745,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,123.76500000000001,1.0089282107219326,LOW_SKEW,-0.044229995979091385,-0.0725712056184159,0.18553615960099745,,NEUTRAL_VOL,1,0,BULLISH
1990-02-09,23.69,,126.06,,,,,,,,0.4496443038669513,1.1413909642770694,1.187350433794304,,MEDIUM,-0.0033655868742110684,-0.025904605263157854,-0.09855403348554037,-0.03855519480519476,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,124.229,1.0147389095943782,LOW_SKEW,-0.025904605263157854,-0.09855403348554037,-0.03855519480519476,,NEUTRAL_VOL,1,0,BULLISH
1990-02-12,24.38,,126.99,,,,,,,,0.4240047169548886,1.0159855642019082,1.1488461030185888,,MEDIUM,0.029126213592232997,-0.006519967400163029,-0.07791225416036318,-0.07441154138192863,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,124.7705,1.0177886599797228,LOW_SKEW,-0.006519967400163029,-0.07791225416036318,-0.07441154138192863,,NEUTRAL_VOL,1,0,BULLISH
1990-02-13,23.76,,133.06,,,,,,,,0.3288920795640934,0.5338341398682646,1.1659303942390695,,MEDIUM,-0.025430680885972,-0.0376670716889429,-0.12807339449541277,-0.017369727047146344,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,125.3925,1.0611479952947744,NEUTRAL_SKEW,-0.0376670716889429,-0.12807339449541277,-0.017369727047146344,,NEUTRAL_VOL,0,0,NEUTRAL
1990-02-14,22.05,,131.55,,,,,,,,0.8730692985095694,0.8063387763354937,1.317626554393183,,MEDIUM,-0.07196969696969702,-0.09221902017291062,-0.13052050473186116,-0.08733443708609268,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,125.8185,1.0455537142789018,NEUTRAL_SKEW,-0.09221902017291062,-0.13052050473186116,-0.08733443708609268,,LOW_VOL_DOWN,0,0,NEUTRAL
1990-02-15,19.71,,139.07,,,,,,,,1.8899126963963147,1.5350642404219503,1.7340919055350137,,MEDIUM_LOW,-0.10612244897959178,-0.17080353386621783,-0.20747889022919175,-0.19022185702547245,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,126.215,1.101850017826724,NEUTRAL_SKEW,-0.17080353386621783,-0.20747889022919175,-0.19022185702547245,,LOW_VOL_DOWN,0,0,NEUTRAL
1990-02-16,20.78,,136.61,,,,,,,,1.9624296165722708,1.7263397373891634,1.8762137124370435,,MEDIUM,0.054287163876205025,-0.12283663993246097,-0.1455592105263157,-0.07644444444444443,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,126.58,1.0792384262916734,NEUTRAL_SKEW,-0.12283663993246097,-0.1455592105263157,-0.07644444444444443,,LOW_VOL_DOWN,0,0,NEUTRAL
1990-02-20,22.78,,126.47,,,,,,,,1.6024762088717552,1.6591028365421532,1.8309114785005902,,MEDIUM,0.09624639076034658,-0.06562756357670207,-0.07171964140179288,-0.14681647940074904,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,126.95599999999999,0.99617190207631,LOW_SKEW,-0.06562756357670207,-0.07171964140179288,-0.14681647940074904,,LOW_VOL_DOWN,1,0,BULLISH
1990-02-21,23.89,,129.17,,,,,,,,1.6424585230683886,1.5856859714331828,1.8287449679752208,,MEDIUM,0.048726953467954415,0.005471380471380405,-0.032401782098015364,-0.03357605177993517,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.51750000000001,1.0129590056266784,LOW_SKEW,0.005471380471380405,-0.032401782098015364,-0.03357605177993517,,NEUTRAL_VOL,1,0,BULLISH
1990-02-22,22.54,,124.8,,,,,,,,1.6723187495211527,1.5112853249248899,1.8415979903048043,,MEDIUM,-0.056508999581414865,0.022222222222222143,-0.0720461095100865,-0.11224891689641592,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.32000000000001,0.9802073515551366,LOW_SKEW,0.022222222222222143,-0.0720461095100865,-0.11224891689641592,,NEUTRAL_VOL,1,0,BULLISH
1990-02-23,23.69,,125.82,,,,,,,,1.2357305531546878,1.505398064743452,1.8047755364150035,,MEDIUM,0.051020408163265474,0.201927955352613,-0.0033655868742110684,-0.07569254779555201,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.3945,0.987640753721707,LOW_SKEW,0.201927955352613,-0.0033655868742110684,-0.07569254779555201,,LOW_VOL_UP,1,0,BULLISH
1990-02-26,23.56,,130.69,,,,,,,,0.5948697336392148,1.4966941348630085,1.7208033619580934,,MEDIUM,-0.005487547488391864,0.13378248315688146,-0.005487547488391864,-0.10350076103500772,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.79100000000001,1.0226854786330806,NEUTRAL_SKEW,0.13378248315688146,-0.005487547488391864,-0.10350076103500772,,LOW_VOL_UP,0,0,NEUTRAL
1990-02-27,22.69,,131.45,,,,,,,,0.6152479175096737,1.3784149512312232,1.6215083134311337,,MEDIUM,-0.036926994906621324,-0.003950834064969211,-0.06931911402789159,-0.14183055975794245,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.1335,1.0258831609220072,NEUTRAL_SKEW,-0.003950834064969211,-0.06931911402789159,-0.14183055975794245,,NEUTRAL_VOL,0,0,NEUTRAL
1990-02-28,21.99,,123.1,,,,,,,,0.7178648897947244,1.3173525639621975,1.4172541093700468,,MEDIUM,-0.03085059497576037,-0.07953118459606534,-0.07449494949494961,-0.19302752293577985,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.243,0.9598964465896774,LOW_SKEW,-0.07953118459606534,-0.07449494949494961,-0.19302752293577985,,LOW_VOL_DOWN,1,0,BULLISH
1990-03-01,21.9,,123.96,,,,,,,,0.8429294157875812,1.3222207749758643,1.3716777088084784,,MEDIUM,-0.004092769440654842,-0.028393966282165062,-0.006802721088435493,-0.13643533123028395,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.03,0.9682105756463328,LOW_SKEW,-0.028393966282165062,-0.006802721088435493,-0.13643533123028395,,NEUTRAL_VOL,1,0,BULLISH
1990-03-02,21.34,,126.44,,,,,,,,0.854008196681973,1.0279126638214178,1.371847006967719,,MEDIUM,-0.025570776255707695,-0.09919797382861972,0.08269913749365809,-0.1419380780056293,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.87549999999999,0.9887742374418869,LOW_SKEW,-0.09919797382861972,0.08269913749365809,-0.1419380780056293,,LOW_VOL_DOWN,1,0,BULLISH
1990-03-05,22.03,,124.24,,,,,,,,0.48015622457695867,0.8547702745312461,1.3528927097927983,,MEDIUM,0.03233364573570774,-0.06494057724957547,0.0601539942252165,-0.09416118421052633,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.46100000000001,0.9747295251096413,LOW_SKEW,-0.06494057724957547,0.0601539942252165,-0.09416118421052633,,LOW_VOL_DOWN,1,0,BULLISH
1990-03-06,20.55,,124.86,,,,,,,,0.6304522186494383,1.0765872003697605,1.3924775345442753,,MEDIUM,-0.0671811166591012,-0.09431467606875277,-0.09789288849868305,-0.16259168704156468,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.64299999999999,0.9781970025775014,LOW_SKEW,-0.09431467606875277,-0.09789288849868305,-0.16259168704156468,,LOW_VOL_DOWN,1,0,BULLISH
1990-03-07,19.1,,121.08,,,,,,,,1.2039227549971803,1.3735311346226469,1.527348838243638,,MEDIUM_LOW,-0.07055961070559602,-0.13142337426102757,-0.2005023022185014,-0.22640745240988258,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.68199999999999,0.9482934164565092,LOW_SKEW,-0.13142337426102757,-0.2005023022185014,-0.22640745240988258,,LOW_VOL_DOWN,1,0,BULLISH
1990-03-08,19.74,,124.46,,,,,,,,1.1803685865016929,1.5154643586116507,1.5730362862612928,,MEDIUM_LOW,0.03350785340314122,-0.09863013698630141,-0.12422360248447206,-0.18731988472622485,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.7375,0.974341912124474,LOW_SKEW,-0.09863013698630141,-0.12422360248447206,-0.18731988472622485,,LOW_VOL_DOWN,1,0,BULLISH
1990-03-09,20.3,,125.6,,,,,,,,1.0953675182330385,1.3841322993927363,1.5817487823691538,,MEDIUM,0.028368794326241176,-0.04873477038425489,-0.14309835373575353,-0.1459823306689103,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.774,0.9829855839216115,LOW_SKEW,-0.04873477038425489,-0.14309835373575353,-0.1459823306689103,,NEUTRAL_VOL,1,0,BULLISH
1990-03-12,20.07,,129.69,,,,,,,,0.5620231311965814,1.1817731498802053,1.5881199576858123,,MEDIUM,-0.011330049261083719,-0.08896958692691792,-0.14813242784380298,-0.1528070915998312,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.95549999999999,1.013555493902177,LOW_SKEW,-0.08896958692691792,-0.14813242784380298,-0.1528070915998312,,LOW_VOL_DOWN,1,0,BULLISH
1990-03-13,21.05,,128.07,,,,,,,,0.7178927496499803,1.0193467407010155,1.4788879178910748,2.3929864272110533,MEDIUM,0.04882909815645253,0.024330900243308973,-0.07227853680035257,-0.1365873666940114,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.0095,1.0004726211726473,LOW_SKEW,0.024330900243308973,-0.07227853680035257,-0.1365873666940114,,NEUTRAL_VOL,1,0,BULLISH
1990-03-14,19.65,,131.82,,,,,,,,0.5604194857426084,0.9856306497759628,1.4594897269792224,2.3004911276880473,MEDIUM_LOW,-0.06650831353919251,0.028795811518324443,-0.1064120054570259,-0.17297979797979812,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.94750000000002,1.030266320170382,NEUTRAL_SKEW,0.028795811518324443,-0.1064120054570259,-0.17297979797979812,0.13979118329466367,NEUTRAL_VOL,0,0,NEUTRAL
1990-03-15,18.81,,133.02,,,,,,,,0.8266075247661443,1.0075073752142583,1.567593781295999,2.276225160126263,MEDIUM_LOW,-0.042748091603053484,-0.04711246200607899,-0.14109589041095894,-0.14693877551020418,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.02100000000002,1.0390482811413753,NEUTRAL_SKEW,-0.04711246200607899,-0.14109589041095894,-0.14693877551020418,0.03408466190214399,NEUTRAL_VOL,0,0,NEUTRAL
1990-03-16,17.62,,136.73,,,,,,,,1.2983065893694037,1.2285836470415015,1.7399497875392524,2.339313557086211,MEDIUM_LOW,-0.06326422115895791,-0.13201970443349753,-0.1743205248359887,-0.10603754439370872,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,127.904,1.0690048786589943,NEUTRAL_SKEW,-0.13201970443349753,-0.1743205248359887,-0.10603754439370872,-0.08324661810613931,LOW_VOL_DOWN,0,0,NEUTRAL
1990-03-19,18.29,,138.69,,,,,,,,1.3261146255132004,1.0636081149663374,1.8570306660733524,2.3964827628533145,MEDIUM_LOW,0.038024971623155324,-0.08868958644743408,-0.1697684975034045,-0.11982675649663144,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.00799999999998,1.083447909505656,NEUTRAL_SKEW,-0.08868958644743408,-0.1697684975034045,-0.11982675649663144,-0.09050223769269017,LOW_VOL_DOWN,0,0,NEUTRAL
1990-03-20,19.06,,134.2,,,,,,,,0.7709928663742732,1.0057661535146132,1.864028673260377,2.4285038309920064,MEDIUM_LOW,0.04209950792782946,-0.0945368171021379,-0.07250608272506087,-0.1633011413520633,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.3945,1.0452161112820253,NEUTRAL_SKEW,-0.0945368171021379,-0.07250608272506087,-0.1633011413520633,-0.05923000987166849,LOW_VOL_DOWN,0,0,NEUTRAL
1990-03-21,20.1,,132.58,,,,,,,,0.9229463689727693,1.0255670518195295,1.731289145481817,2.4571253819976584,MEDIUM,0.054564533053515385,0.022900763358778775,0.05235602094240832,-0.15864378401004597,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.565,1.03122933924474,NEUTRAL_SKEW,0.022900763358778775,0.05235602094240832,-0.15864378401004597,-0.09459459459459452,NEUTRAL_VOL,0,0,NEUTRAL
1990-03-22,22.74,,129.8,,,,,,,,2.001904093606886,1.4602925886425853,1.7429901711834483,2.456693281130352,MEDIUM,0.13134328358208935,0.2089314194577352,0.15197568389057747,0.008873114463176623,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,128.815,1.007646625004852,LOW_SKEW,0.2089314194577352,0.15197568389057747,0.008873114463176623,0.013368983957219083,LOW_VOL_UP,1,0,BULLISH
1990-03-23,20.46,,130.76,,,,,,,,1.6920697385155263,1.4676152235666073,1.5961891294085764,2.4481106500936667,MEDIUM,-0.10026385224274392,0.16118047673098745,0.007881773399014858,-0.13634444913465593,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,129.06199999999998,1.0131564674342564,NEUTRAL_SKEW,0.16118047673098745,0.007881773399014858,-0.13634444913465593,0.02044887780548632,LOW_VOL_UP,0,0,NEUTRAL
1990-03-26,19.59,,129.9,,,,,,,,1.416015536637927,1.4651056086318361,1.4418898417665205,2.4736198048155065,MEDIUM_LOW,-0.042521994134897434,0.07107709130672513,-0.02391629297458897,-0.16850594227504245,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,129.02249999999998,1.0068011393361624,LOW_SKEW,0.07107709130672513,-0.02391629297458897,-0.16850594227504245,-0.2049512987012987,LOW_VOL_UP,1,0,BULLISH
1990-03-27,21.01,,135.33,,,,,,,,1.211961220501709,1.4611719041007296,1.3442704928304967,2.4267970408649786,MEDIUM,0.07248596222562531,0.10230849947534115,-0.0019002375296911511,-0.07404142794182456,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,129.2165,1.0473120692790783,NEUTRAL_SKEW,0.10230849947534115,-0.0019002375296911511,-0.07404142794182456,-0.2023538344722854,LOW_VOL_UP,0,0,NEUTRAL
1990-03-28,19.77,,133.51,,,,,,,,1.2660292255710348,1.4609072523606754,1.2851250195173565,2.4470320548678997,MEDIUM_LOW,-0.0590195145168968,-0.016417910447761308,0.006106870229007688,-0.10095497953615273,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,129.73700000000002,1.0290819118678556,NEUTRAL_SKEW,-0.016417910447761308,0.006106870229007688,-0.10095497953615273,-0.18238213399503722,NEUTRAL_VOL,0,0,NEUTRAL
