,VIX,VVIX,SKEW,VIX3M,PUT,BXM,CLL,price,dix,gex,returns,log_returns,vix_returns,vix_volatility,vix_term_ratio,vix_term_structure
1990-05-15,19.49,,125.1,,,,,,,,,,-0.03227408142999022,0.9820790380416564,,BULL_QUIET
1990-05-16,17.71,,125.7,,,,,,,,,,-0.09132888660851712,0.9370151276437119,,BULL_QUIET
1990-05-17,17.27,,121.95,,,,,,,,,,-0.024844720496894457,0.9383561472363968,,BULL_QUIET
1990-05-18,17.2,,124.68,,,,,,,,,,-0.004053271569195105,0.9201754005920189,,BULL_QUIET
1990-05-21,16.72,,127.35,,,,,,,,,,-0.027906976744186074,0.9026968197285177,,BULL_QUIET
1990-05-22,17.84,,124.88,,,,,,,,,,0.06698564593301448,0.8902960481037709,,BULL_QUIET
1990-05-23,17.18,,118.8,,,,,,,,,,-0.036995515695067316,0.8895382231731078,,BULL_QUIET
1990-05-24,17.7,,117.3,,,,,,,,,,0.030267753201396852,0.8958787444006334,,BULL_QUIET
1990-05-25,17.32,,111.93,,,,,,,,,,-0.021468926553672274,0.8134958304645975,,BULL_QUIET
1990-05-29,18.75,,122.18,,,,,,,,,,0.08256351039260967,0.7695787018373403,,BULL_QUIET
1990-05-30,17.44,,119.88,,,,,,,,,,-0.06986666666666663,0.7843313677854387,,BULL_QUIET
1990-05-31,17.37,,120.21,,,,,,,,,,-0.004013761467889898,0.7618644157173723,,BULL_QUIET
1990-06-01,17.09,,119.33,,,,,,,,,,-0.016119746689694958,0.7122044021743165,,BULL_QUIET
1990-06-04,18.39,,122.78,,,,,,,,,,0.07606787595084841,0.7535973165753173,,BULL_QUIET
1990-06-05,18.97,,121.22,,,,,,,,,,0.03153887982599235,0.7575145695023087,,BULL_QUIET
1990-06-06,17.42,,121.45,,,,,,,,,,-0.08170795993674207,0.7983380029273723,,BULL_QUIET
1990-06-07,16.88,,123.99,,,,,,,,,,-0.030998851894374457,0.8039668497603142,,BULL_QUIET
1990-06-08,17.58,,122.13,,,,,,,,,,0.041469194312796276,0.8198468501207892,,BULL_QUIET
1990-06-11,16.34,,132.14,,,,,,,,,,-0.07053469852104655,0.8143876148857477,,BULL_QUIET
1990-06-12,16.6,,132.61,,,,,,,,,,0.01591187270501848,0.8140881448147417,,BULL_QUIET
1990-06-13,17.38,,131.51,,,,,,,,,,0.0469879518072287,0.8316429853556581,,BULL_QUIET
1990-06-14,17.4,,132.45,,,,,,,,,,0.0011507479861909697,0.7656030722420752,,BULL_QUIET
1990-06-15,15.9,,138.31,,,,,,,,,,-0.08620689655172409,0.8212136406214335,,BULL_QUIET
1990-06-18,17.71,,133.31,,,,,,,,,,0.11383647798742147,0.9196372862158556,,BULL_QUIET
1990-06-19,15.23,,136.21,,,,,,,,,,-0.14003387916431398,1.0470030114701805,,BULL_QUIET
1990-06-20,15.27,,139.12,,,,,,,,,,0.0026263952724885353,1.014731226584541,,BULL_QUIET
1990-06-21,14.72,,142.57,,,,,,,,,,-0.036018336607727464,1.0143383370071655,,BULL_QUIET
1990-06-22,19.36,,139.62,,,,,,,,,,0.31521739130434767,1.524477375628804,,BULL_QUIET
1990-06-25,17.06,,106.8,,,,,,,,,,-0.11880165289256206,1.587711315944418,,BULL_QUIET
1990-06-26,16.29,,104.65,,,,,,,,,,-0.04513481828839383,1.5681186920553145,,BULL_QUIET
1990-06-27,16.0,,106.54,,,,,,,,,,-0.017802332719459746,1.5493328638851955,,BULL_QUIET
1990-06-28,16.18,,107.42,,,,,,,,,,0.011249999999999982,1.5497724719309753,,BULL_QUIET
1990-06-29,15.5,,107.31,,,,,,,,,,-0.04202719406674904,1.5562024451258303,,BULL_QUIET
1990-07-02,16.26,,108.16,,,,,,,,,,0.049032258064516165,1.5414115421330934,,BULL_QUIET
1990-07-03,16.11,,107.62,,,,,,,,,,-0.009225092250922606,1.5364268662161222,,BULL_QUIET
1990-07-05,17.25,,105.08,,,,,,,,,,0.07076350093109873,1.5295229357708051,,BULL_QUIET
1990-07-06,16.41,,107.27,,,,,,,,,,-0.04869565217391303,1.5361040270058655,,BULL_QUIET
1990-07-09,16.66,,106.5,,,,,,,,,,0.015234613040828737,1.5301306018349154,,BULL_QUIET
1990-07-10,16.92,,105.19,,,,,,,,,,0.015606242496998934,1.506810427050241,,BULL_QUIET
1990-07-11,16.68,,107.84,,,,,,,,,,-0.014184397163120699,1.50788755291408,,BULL_QUIET
1990-07-12,17.06,,109.71,,,,,,,,,,0.02278177458033559,1.5012061470149805,,BULL_QUIET
1990-07-13,17.09,,109.33,,,,,,,,,,0.0017584994138335475,1.501197936902658,,BULL_QUIET
1990-07-16,16.75,,108.65,,,,,,,,,,-0.01989467524868338,1.46699924095817,,BULL_QUIET
1990-07-17,16.66,,107.65,,,,,,,,,,-0.005373134328358176,1.4110773380082111,,BULL_QUIET
1990-07-18,18.9,,133.75,,,,,,,,,,0.134453781512605,1.3850207693865393,,BULL_QUIET
1990-07-19,18.56,,137.94,,,,,,,,,,-0.017989417989418,1.3892085222924815,,BULL_QUIET
1990-07-20,15.63,,109.71,,,,,,,,,,-0.15786637931034475,1.508496486665735,,BULL_QUIET
1990-07-23,23.68,,127.13,,,,,,,,,,0.5150351887396032,2.1006108907562626,,BULL_QUIET
1990-07-24,21.79,,127.61,,,,,,,,,,-0.07981418918918926,2.0715523070133557,,BULL_QUIET
1990-07-25,20.19,,130.85,,,,,,,,,,-0.07342817806333168,2.0855386188852783,,BULL_QUIET
1990-07-26,20.26,,131.0,,,,,,,,,,0.0034670629024269317,2.082129855167654,,BULL_QUIET
1990-07-27,21.12,,127.62,,,,,,,,,,0.04244817374136223,2.0836247590444126,,BULL_QUIET
1990-07-30,21.16,,132.44,,,,,,,,,,0.0018939393939394478,2.0720548430440395,,BULL_QUIET
1990-07-31,21.11,,132.07,,,,,,,,,,-0.0023629489603025355,2.071291688514621,,BULL_QUIET
1990-08-01,21.64,,131.01,,,,,,,,,,0.025106584557081923,2.0685093260772276,,BULL_QUIET
1990-08-02,20.43,,110.08,,,,,,,,,,-0.055914972273567454,2.077308281735603,,BULL_QUIET
1990-08-03,28.74,,119.6,,,,,,,,,,0.40675477239353897,2.481530057020875,,BULL_FRAGILE
1990-08-06,35.91,,114.65,,,,,,,,,,0.24947807933194155,2.5900982217893693,,BULL_FRAGILE
1990-08-07,32.75,,119.09,,,,,,,,,,-0.08799777220829841,2.633870016352001,,BULL_FRAGILE
1990-08-08,28.27,,125.19,,,,,,,,,,-0.13679389312977097,2.7050478744130544,,BULL_FRAGILE
1990-08-09,24.39,,128.9,,,,,,,,,,-0.13724796604174028,2.775929409882373,,BULL_QUIET
1990-08-10,25.75,,123.01,,,,,,,,,,0.05576055760557597,2.7751872140090406,,BULL_FRAGILE
1990-08-13,25.74,,119.34,,,,,,,,,,-0.0003883495145631244,2.771118253117941,,BULL_FRAGILE
1990-08-14,24.18,,120.52,,,,,,,,,,-0.06060606060606055,2.788398182762308,,BULL_QUIET
1990-08-15,23.31,,120.04,,,,,,,,,,-0.03598014888337475,2.7702625011726827,,BULL_QUIET
1990-08-16,27.16,,117.18,,,,,,,,,,0.16516516516516533,2.8105962165998197,,BULL_FRAGILE
1990-08-17,27.53,,117.36,,,,,,,,,,0.0136229749631811,2.7215895242915935,,BULL_FRAGILE
1990-08-20,26.46,,118.36,,,,,,,,,,-0.03886669088267347,2.073442397581874,,BULL_FRAGILE
1990-08-21,28.9,,114.52,,,,,,,,,,0.09221466364323505,2.061506742217664,,BULL_FRAGILE
1990-08-22,30.55,,112.49,,,,,,,,,,0.05709342560553643,2.033822181424769,,BULL_FRAGILE
1990-08-23,36.47,,110.92,,,,,,,,,,0.1937806873977086,2.114176295509932,,BULL_FRAGILE
1990-08-24,33.93,,113.42,,,,,,,,,,-0.06964628461749378,2.1477726045151684,,BULL_FRAGILE
1990-08-27,29.63,,117.69,,,,,,,,,,-0.1267315060418509,2.2188435739385706,,BULL_FRAGILE
1990-08-28,29.12,,117.9,,,,,,,,,,-0.01721228484643933,2.22192488569192,,BULL_FRAGILE
1990-08-29,27.38,,118.63,,,,,,,,,,-0.059752747252747374,2.241985230994218,,BULL_FRAGILE
1990-08-30,29.89,,116.74,,,,,,,,,,0.09167275383491602,2.236611503721839,,BULL_FRAGILE
1990-08-31,29.9,,119.48,,,,,,,,,,0.00033456005352960894,1.7312749277468669,,BULL_FRAGILE
1990-09-04,29.58,,119.92,,,,,,,,,,-0.010702341137123761,1.4763088275475331,,BULL_FRAGILE
1990-09-05,28.52,,119.88,,,,,,,,,,-0.0358350236646382,1.4490612845285873,,BULL_FRAGILE
1990-09-06,30.19,,116.98,,,,,,,,,,0.058555399719495194,1.3738035143093879,,BULL_FRAGILE
1990-09-07,28.73,,117.82,,,,,,,,,,-0.04836038423318978,1.2834852793170608,,BULL_FRAGILE
1990-09-10,29.34,,118.77,,,,,,,,,,0.02123216150365459,1.2734002589711084,,BULL_FRAGILE
1990-09-11,28.38,,119.16,,,,,,,,,,-0.03271983640081799,1.2818667361417568,,BULL_FRAGILE
1990-09-12,28.12,,118.28,,,,,,,,,,-0.009161381254404466,1.2582104582326792,,BULL_FRAGILE
1990-09-13,29.33,,116.91,,,,,,,,,,0.0430298719772404,1.2507880834998453,,BULL_FRAGILE
1990-09-14,30.56,,119.03,,,,,,,,,,0.041936583702693486,1.1238048362427489,,BULL_FRAGILE
1990-09-17,29.55,,116.8,,,,,,,,,,-0.03304973821989521,1.1330050650216708,,BULL_FRAGILE
1990-09-18,28.82,,117.49,,,,,,,,,,-0.024703891708967918,1.1266823517863265,,BULL_FRAGILE
1990-09-19,27.88,,116.48,,,,,,,,,,-0.03261623872310904,1.0873157136034306,,BULL_FRAGILE
1990-09-20,28.66,,115.88,,,,,,,,,,0.027977044476327206,1.0719687648128948,,BULL_FRAGILE
1990-09-21,30.04,,118.22,,,,,,,,,,0.048150732728541534,0.8145642920517127,,BULL_FRAGILE
1990-09-24,30.56,,111.3,,,,,,,,,,0.017310252996005415,0.785792825013029,,BULL_FRAGILE
1990-09-25,28.81,,115.72,,,,,,,,,,-0.05726439790575921,0.6724398142212095,,BULL_FRAGILE
1990-09-26,28.19,,114.76,,,,,,,,,,-0.02152030544949657,0.6740268713455781,,BULL_FRAGILE
1990-09-27,28.67,,112.85,,,,,,,,,,0.017027314650585268,0.6391170608578937,,BULL_FRAGILE
1990-09-28,29.11,,113.24,,,,,,,,,,0.015347052668294392,0.5499762452400743,,BULL_FRAGILE
1990-10-01,28.06,,116.56,,,,,,,,,,-0.03607007901064929,0.5640245656023433,,BULL_FRAGILE
1990-10-02,27.28,,116.81,,,,,,,,,,-0.027797576621525266,0.5705199228440337,,BULL_FRAGILE
1990-10-03,27.9,,115.6,,,,,,,,,,0.022727272727272707,0.5642345675888361,,BULL_FRAGILE
1990-10-04,27.51,,116.16,,,,,,,,,,-0.013978494623655857,0.5206037405290824,,BULL_FRAGILE
1990-10-05,27.85,,117.23,,,,,,,,,,0.01235914213013456,0.49622034124995595,,BULL_FRAGILE
1990-10-08,28.04,,116.49,,,,,,,,,,0.006822262118491906,0.4902232095774837,,BULL_FRAGILE
1990-10-09,30.71,,112.8,,,,,,,,,,0.09522111269614841,0.5845202740562526,,BULL_FRAGILE
1990-10-10,31.19,,110.65,,,,,,,,,,0.015630087919244584,0.5834094716441783,,BULL_FRAGILE
1990-10-11,33.98,,109.78,,,,,,,,,,0.08945174735492123,0.6429084542662076,,BULL_FRAGILE
1990-10-12,31.94,,111.92,,,,,,,,,,-0.060035314891112246,0.6730181219370722,,BULL_FRAGILE
1990-10-15,31.64,,112.35,,,,,,,,,,-0.009392611145898622,0.6613256237002301,,BULL_FRAGILE
1990-10-16,31.45,,111.07,,,,,,,,,,-0.006005056890012628,0.6537617856819635,,BULL_FRAGILE
1990-10-17,31.37,,111.74,,,,,,,,,,-0.0025437201907789753,0.6392644365900981,,BULL_FRAGILE
1990-10-18,29.6,,114.65,,,,,,,,,,-0.05642333439591962,0.6713517193141906,,BULL_FRAGILE
1990-10-19,27.86,,117.56,,,,,,,,,,-0.058783783783783794,0.6820282761527559,,BULL_FRAGILE
1990-10-22,27.27,,116.11,,,,,,,,,,-0.021177315147164366,0.6805862927598709,,BULL_FRAGILE
1990-10-23,27.57,,115.13,,,,,,,,,,0.011001100110010986,0.6534129538637111,,BULL_FRAGILE
1990-10-24,28.28,,116.17,,,,,,,,,,0.025752629669931082,0.6556557816992943,,BULL_FRAGILE
1990-10-25,29.04,,114.75,,,,,,,,,,0.026874115983026803,0.6597756046217107,,BULL_FRAGILE
1990-10-26,30.75,,111.79,,,,,,,,,,0.058884297520661155,0.6893748678944808,,BULL_FRAGILE
1990-10-29,31.54,,112.35,,,,,,,,,,0.025691056910569054,0.6769534776685444,,BULL_FRAGILE
1990-10-30,30.52,,113.42,,,,,,,,,,-0.032339885859226314,0.6802090061378385,,BULL_FRAGILE
1990-10-31,30.04,,113.97,,,,,,,,,,-0.01572739187418093,0.6817260316749298,,BULL_FRAGILE
1990-11-01,30.25,,112.53,,,,,,,,,,0.006990679094540653,0.6782158063496102,,BULL_FRAGILE
1990-11-02,30.03,,115.29,,,,,,,,,,-0.0072727272727272085,0.6792050174488309,,BULL_FRAGILE
1990-11-05,29.85,,114.48,,,,,,,,,,-0.005994005994006013,0.6801794585259047,,BULL_FRAGILE
1990-11-06,29.11,,114.47,,,,,,,,,,-0.024790619765494237,0.5947170877000235,,BULL_FRAGILE
1990-11-07,30.87,,114.59,,,,,,,,,,0.06046032291308845,0.632446929480525,,BULL_FRAGILE
1990-11-08,30.79,,114.66,,,,,,,,,,-0.0025915127955944417,0.5374916603138916,,BULL_FRAGILE
1990-11-09,26.96,,117.11,,,,,,,,,,-0.1243910360506657,0.6603844327690501,,BULL_FRAGILE
1990-11-12,25.6,,115.57,,,,,,,,,,-0.05044510385756673,0.6777216357442601,,BULL_FRAGILE
1990-11-13,24.58,,116.1,,,,,,,,,,-0.03984375000000007,0.6859082655026801,,BULL_QUIET
1990-11-14,22.89,,117.02,,,,,,,,,,-0.06875508543531317,0.7143318432194381,,BULL_QUIET
1990-11-15,22.57,,116.97,,,,,,,,,,-0.013979903888160727,0.697086977085531,,BULL_QUIET
1990-11-16,21.34,,119.97,,,,,,,,,,-0.05449712007089058,0.6934705281795767,,BULL_QUIET
1990-11-19,20.95,,121.28,,,,,,,,,,-0.01827553889409561,0.6930546399895978,,BULL_QUIET
1990-11-20,20.09,,118.28,,,,,,,,,,-0.041050119331742185,0.6946075949155085,,BULL_QUIET
1990-11-21,21.09,,119.28,,,,,,,,,,0.04977600796416137,0.7180330134613996,,BULL_QUIET
1990-11-23,20.98,,116.37,,,,,,,,,,-0.00521574205784725,0.7029399133696221,,BULL_QUIET
1990-11-26,22.76,,118.33,,,,,,,,,,0.08484270734032417,0.7440471384232175,,BULL_QUIET
1990-11-27,22.86,,119.45,,,,,,,,,,0.004393673110720364,0.7327832682257958,,BULL_QUIET
1990-11-28,22.96,,120.15,,,,,,,,,,0.004374453193350947,0.7328063484701903,,BULL_QUIET
1990-11-29,23.91,,117.71,,,,,,,,,,0.04137630662020908,0.7577012396536787,,BULL_QUIET
1990-11-30,22.16,,122.65,,,,,,,,,,-0.07319113341698036,0.7864224902530662,,BULL_QUIET
1990-12-03,22.29,,122.24,,,,,,,,,,0.005866425992779645,0.7893469417581579,,BULL_QUIET
1990-12-04,22.03,,124.37,,,,,,,,,,-0.011664423508299548,0.7888790738316623,,BULL_QUIET
1990-12-05,20.94,,127.38,,,,,,,,,,-0.04947798456650021,0.7982195228565458,,BULL_QUIET
1990-12-06,22.62,,126.31,,,,,,,,,,0.08022922636103158,0.8256571426376255,,BULL_QUIET
1990-12-07,22.59,,124.43,,,,,,,,,,-0.0013262599469496816,0.8259037557067984,,BULL_QUIET
1990-12-10,23.58,,125.1,,,,,,,,,,0.043824701195219085,0.7391566394526148,,BULL_QUIET
1990-12-11,23.75,,125.98,,,,,,,,,,0.007209499575911771,0.7209233917284639,,BULL_QUIET
1990-12-12,21.28,,128.57,,,,,,,,,,-0.10399999999999998,0.7966724431494987,,BULL_QUIET
1990-12-13,23.05,,122.57,,,,,,,,,,0.0831766917293233,0.8200783810381423,,BULL_QUIET
1990-12-14,23.85,,122.14,,,,,,,,,,0.03470715835141003,0.8259839136949815,,BULL_QUIET
1990-12-17,24.85,,120.45,,,,,,,,,,0.04192872117400426,0.806002687507285,,BULL_QUIET
1990-12-18,23.11,,123.99,,,,,,,,,,-0.07002012072434616,0.8489074137459028,,BULL_QUIET
1990-12-19,23.08,,126.31,,,,,,,,,,-0.0012981393336218838,0.831046198016287,,BULL_QUIET
1990-12-20,23.13,,122.35,,,,,,,,,,0.002166377816291254,0.8165700806872708,,BULL_QUIET
1990-12-21,22.66,,129.61,,,,,,,,,,-0.02031993082576733,0.821043770263743,,BULL_QUIET
1990-12-24,24.03,,121.29,,,,,,,,,,0.06045895851721106,0.7937580006872872,,BULL_QUIET
1990-12-26,24.18,,127.3,,,,,,,,,,0.006242197253433224,0.793799729088586,,BULL_QUIET
1990-12-27,24.81,,124.79,,,,,,,,,,0.02605459057071946,0.797651652320855,,BULL_QUIET
1990-12-28,25.05,,127.59,,,,,,,,,,0.0096735187424426,0.7863858728099014,,BULL_FRAGILE
1990-12-31,26.38,,126.57,,,,,,,,,,0.05309381237524935,0.7499334983909752,,BULL_FRAGILE
1991-01-02,26.62,,121.35,,,,,,,,,,0.00909780136467031,0.7497949027862426,,BULL_FRAGILE
1991-01-03,27.93,,122.76,,,,,,,,,,0.04921111945905321,0.7575762335374006,,BULL_FRAGILE
1991-01-04,27.19,,121.95,,,,,,,,,,-0.02649480844969565,0.7365241841813722,,BULL_FRAGILE
1991-01-07,28.95,,118.12,,,,,,,,,,0.06472968002942259,0.7199578400144213,,BULL_FRAGILE
1991-01-08,30.38,,116.76,,,,,,,,,,0.049395509499136514,0.7286521061892812,,BULL_FRAGILE
1991-01-09,33.3,,114.26,,,,,,,,,,0.09611586570111919,0.777214871691068,,BULL_FRAGILE
